,dynasty,keyword,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
0,Tang,家,冢, 族, 富, 貧, 亡, 産, 業, 貲, 丗, 妻, 宅, 兄, 他, 世, 邦, 語, 父, 弟, 資, 姓
1,Song,家,冢, 族, 貲, 妻, 富, 鄰, 宅, 亡, 亦, 隣, 皆, 冨, 貧, 身, 䏻, 兄, 妾, 他, 有, 人
2,Yuan,家,貲, 妻, 族, 富, 里, 老, 其, 業, 弟, 世, 冢, 姓, 鄉, 子, 亦, 𡛸, 盡, 兄, 父, 又
3,Ming,家,冢, 者, 妻, 有, 亦, 皆, 此, 富, 當, 故, 其, 人, 兄, 是, 族, 之, 貧, 及, 所, 他
4,Qing,家,冢, 村, 傭, 僮, 子, 亦, 老, 及, 店, 富, 後, 貧, 者, 皆, 故, 兄, 坑, 與, 族, 氏
5,1980s,家,顧, 肄, 校, 霈, 嬴, 釗, 忝, 菘, 偉, 庭, 爿, 榷, 謄, 忮, 灝, 概, 踫, 蕞, 堉, 陸
